2017 Oct 11 16:59:38 [9] INFO  - |||Production Version|||No Equity Longs (Method 1)|||No Net Notional Eq Long (Method 2)||
2017 Oct 11 16:59:39 [9] INFO  - |Date|Reg/Cross|Trend+Counter|Trend|Counter|Trend+Counter|Trend|Counter|Trend+Counter|Trend|Counter
2017 Oct 11 16:59:45 [9] INFO  - |11/16/2007 12:00:00 AM|-0.24%|-0.13%|-0.25%|0.13%|-0.01%|-0.14%|0.12%|0.00%|-0.14%|0.13%
2017 Oct 11 16:59:45 [9] INFO  - |11/23/2007 12:00:00 AM|0.36%|0.63%|0.71%|-0.09%|1.17%|1.31%|-0.13%|1.16%|1.32%|-0.15%
2017 Oct 11 16:59:45 [9] INFO  - |11/30/2007 12:00:00 AM|-0.01%|1.60%|1.54%|0.06%|0.44%|0.31%|0.16%|0.55%|0.41%|0.17%
2017 Oct 11 16:59:45 [9] INFO  - |12/7/2007 12:00:00 AM|0.46%|1.36%|1.37%|0.00%|0.85%|0.78%|0.07%|0.86%|0.80%|0.06%
2017 Oct 11 16:59:45 [9] INFO  - |12/14/2007 12:00:00 AM|0.00%|0.51%|-0.29%|0.78%|1.42%|1.00%|0.39%|1.30%|1.09%|0.20%
2017 Oct 11 16:59:45 [9] INFO  - |12/21/2007 12:00:00 AM|1.14%|2.01%|1.37%|0.64%|1.61%|1.08%|0.52%|1.34%|0.72%|0.62%
2017 Oct 11 16:59:45 [9] INFO  - |12/28/2007 12:00:00 AM|1.94%|0.62%|0.78%|-0.16%|0.53%|0.70%|-0.17%|0.55%|0.73%|-0.18%
2017 Oct 11 16:59:45 [9] INFO  - |1/4/2008 12:00:00 AM|0.14%|0.18%|-0.56%|0.76%|1.40%|0.38%|1.02%|1.27%|0.62%|0.65%
2017 Oct 11 16:59:46 [9] INFO  - |1/11/2008 12:00:00 AM|0.77%|-1.01%|-1.09%|0.04%|-0.30%|-0.31%|-0.01%|-0.34%|-0.36%|0.00%
2017 Oct 11 16:59:46 [9] INFO  - |1/18/2008 12:00:00 AM|-1.18%|-2.34%|-2.50%|0.11%|-0.87%|-0.95%|0.07%|-1.39%|-1.50%|0.09%
2017 Oct 11 16:59:46 [9] INFO  - |1/25/2008 12:00:00 AM|-0.83%|0.28%|-0.70%|1.02%|0.63%|-0.27%|0.92%|0.28%|-0.70%|1.02%
2017 Oct 11 16:59:46 [9] INFO  - |2/1/2008 12:00:00 AM|-0.34%|0.93%|0.92%|-0.02%|0.84%|0.91%|-0.10%|0.93%|0.92%|-0.02%
2017 Oct 11 16:59:46 [9] INFO  - |2/8/2008 12:00:00 AM|1.04%|2.48%|3.35%|-0.83%|2.58%|3.30%|-0.72%|2.48%|3.35%|-0.83%
