2017 Oct 11 16:59:08 [10] INFO  - ,,,Production Version,,,No Equity Longs (Method 1),,,No Net Notional Eq Long (Method 2),,
2017 Oct 11 16:59:08 [10] INFO  - ,3/26/2010 12:00:00 AM,-0.09%,0.07%,0.31%,-0.24%,-0.14%,0.13%,-0.27%,-0.11%,0.06%,-0.17%
2017 Oct 11 16:59:08 [10] INFO  - ,4/2/2010 12:00:00 AM,1.08%,1.16%,1.38%,-0.22%,0.90%,1.12%,-0.22%,0.90%,1.12%,-0.22%
2017 Oct 11 16:59:08 [10] INFO  - ,4/9/2010 12:00:00 AM,-0.08%,-0.25%,0.26%,-0.52%,-0.54%,-0.05%,-0.49%,-0.54%,-0.03%,-0.51%
2017 Oct 11 16:59:08 [10] INFO  - ,4/16/2010 12:00:00 AM,0.56%,0.90%,0.55%,0.35%,1.16%,0.74%,0.42%,1.18%,0.70%,0.48%
2017 Oct 11 16:59:08 [10] INFO  - ,4/23/2010 12:00:00 AM,0.11%,0.71%,0.68%,0.02%,0.65%,0.22%,0.42%,0.68%,0.04%,0.63%
2017 Oct 11 16:59:08 [10] INFO  - ,4/30/2010 12:00:00 AM,2.25%,3.87%,4.06%,-0.23%,4.90%,5.36%,-0.49%,4.83%,5.58%,-0.79%
2017 Oct 11 16:59:08 [10] INFO  - ,5/7/2010 12:00:00 AM,0.14%,-2.94%,-3.58%,0.62%,0.25%,0.02%,0.21%,0.18%,0.24%,-0.09%
2017 Oct 11 16:59:08 [10] INFO  - ,5/14/2010 12:00:00 AM,2.33%,1.58%,2.17%,-0.61%,-0.08%,0.53%,-0.64%,-0.10%,0.50%,-0.63%
2017 Oct 11 16:59:08 [10] INFO  - ,5/21/2010 12:00:00 AM,-1.16%,-0.17%,-0.93%,0.74%,0.51%,-0.26%,0.75%,0.48%,-0.28%,0.75%
2017 Oct 11 16:59:08 [10] INFO  - ,5/28/2010 12:00:00 AM,0.04%,0.58%,0.57%,0.01%,0.08%,0.11%,-0.03%,0.31%,0.33%,-0.03%
2017 Oct 11 16:59:08 [10] INFO  - ,6/4/2010 12:00:00 AM,0.28%,0.01%,0.77%,-0.73%,0.51%,1.37%,-0.83%,0.46%,1.33%,-0.84%
2017 Oct 11 16:59:08 [10] INFO  - ,6/11/2010 12:00:00 AM,1.67%,2.72%,3.25%,-0.51%,1.62%,2.51%,-0.87%,1.79%,2.62%,-0.82%
2017 Oct 11 16:59:08 [10] INFO  - ,6/18/2010 12:00:00 AM,0.47%,2.39%,1.40%,0.99%,1.18%,0.21%,0.97%,1.29%,0.32%,0.98%
2017 Oct 11 16:59:08 [10] INFO  - ,6/25/2010 12:00:00 AM,0.94%,0.10%,0.85%,-0.78%,1.16%,1.62%,-0.49%,1.21%,1.70%,-0.51%
2017 Oct 11 16:59:08 [10] INFO  - ,7/2/2010 12:00:00 AM,-0.45%,-2.48%,-3.06%,0.58%,-0.99%,-1.81%,0.84%,-1.08%,-1.89%,0.83%
2017 Oct 11 16:59:08 [10] INFO  - ,7/9/2010 12:00:00 AM,0.26%,1.38%,1.19%,0.20%,0.43%,0.32%,0.11%,0.57%,0.45%,0.11%
2017 Oct 11 16:59:08 [10] INFO  - ,7/16/2010 12:00:00 AM,0.85%,0.52%,0.55%,-0.04%,0.54%,0.53%,0.00%,0.55%,0.54%,0.00%
2017 Oct 11 16:59:08 [10] INFO  - ,7/23/2010 12:00:00 AM,-0.49%,1.89%,1.39%,0.51%,1.10%,0.36%,0.73%,1.21%,0.50%,0.71%
2017 Oct 11 16:59:08 [10] INFO  - ,7/30/2010 12:00:00 AM,0.62%,0.26%,0.21%,0.03%,0.37%,0.28%,0.08%,0.39%,0.30%,0.09%
2017 Oct 11 16:59:08 [10] INFO  - ,8/6/2010 12:00:00 AM,1.41%,1.75%,1.34%,0.42%,1.31%,1.01%,0.30%,1.32%,1.02%,0.31%
2017 Oct 11 16:59:08 [10] INFO  - ,8/13/2010 12:00:00 AM,1.40%,-0.90%,-0.13%,-0.74%,-0.38%,0.26%,-0.63%,-0.36%,0.28%,-0.63%
2017 Oct 11 16:59:08 [10] INFO  - ,8/20/2010 12:00:00 AM,0.53%,-0.09%,0.66%,-0.73%,0.18%,1.04%,-0.84%,0.15%,1.00%,-0.83%
2017 Oct 11 16:59:08 [10] INFO  - ,8/27/2010 12:00:00 AM,0.70%,0.57%,0.28%,0.30%,0.51%,0.92%,-0.40%,0.48%,0.81%,-0.31%
2017 Oct 11 16:59:08 [10] INFO  - ,9/3/2010 12:00:00 AM,2.79%,2.70%,1.98%,0.71%,0.95%,-0.32%,1.27%,1.39%,0.21%,1.18%
2017 Oct 11 16:59:08 [10] INFO  - ,9/10/2010 12:00:00 AM,-0.53%,1.39%,0.61%,0.80%,0.79%,-0.07%,0.88%,0.91%,0.08%,0.85%
2017 Oct 11 16:59:08 [10] INFO  - ,9/17/2010 12:00:00 AM,2.32%,2.00%,1.78%,0.23%,1.10%,0.86%,0.25%,1.10%,0.86%,0.25%
2017 Oct 11 16:59:08 [10] INFO  - ,9/24/2010 12:00:00 AM,1.64%,1.71%,1.45%,0.27%,1.33%,1.18%,0.15%,1.33%,1.18%,0.15%
2017 Oct 11 16:59:08 [10] INFO  - ,10/1/2010 12:00:00 AM,-0.36%,0.56%,0.74%,-0.18%,0.71%,0.85%,-0.15%,0.71%,0.85%,-0.15%
2017 Oct 11 16:59:08 [10] INFO  - ,10/8/2010 12:00:00 AM,2.02%,2.85%,2.46%,0.38%,2.23%,1.99%,0.23%,2.23%,1.99%,0.23%
2017 Oct 11 16:59:08 [10] INFO  - ,10/15/2010 12:00:00 AM,0.92%,-0.26%,0.00%,-0.27%,-0.69%,-0.30%,-0.39%,-0.67%,-0.33%,-0.34%
2017 Oct 11 16:59:08 [10] INFO  - ,10/22/2010 12:00:00 AM,0.45%,-0.57%,-0.43%,-0.13%,-0.65%,-0.52%,-0.14%,-0.63%,-0.52%,-0.12%
2017 Oct 11 16:59:08 [10] INFO  - ,10/29/2010 12:00:00 AM,0.52%,-0.11%,-0.45%,0.35%,0.06%,-0.34%,0.41%,0.10%,-0.35%,0.45%
2017 Oct 11 16:59:08 [10] INFO  - ,11/5/2010 12:00:00 AM,2.37%,1.30%,1.89%,-0.58%,0.42%,1.20%,-0.78%,0.55%,1.19%,-0.64%
2017 Oct 11 16:59:08 [10] INFO  - ,11/12/2010 12:00:00 AM,-0.97%,-1.25%,-1.44%,0.18%,-0.86%,-1.17%,0.30%,-0.94%,-1.16%,0.21%
2017 Oct 11 16:59:08 [10] INFO  - ,11/19/2010 12:00:00 AM,-0.40%,-0.74%,-0.81%,0.09%,-0.72%,-0.82%,0.12%,-0.75%,-0.82%,0.08%
2017 Oct 11 16:59:08 [10] INFO  - ,11/26/2010 12:00:00 AM,-0.55%,0.14%,-0.10%,0.23%,0.09%,-0.31%,0.38%,0.11%,-0.34%,0.43%
2017 Oct 11 16:59:08 [10] INFO  - ,12/3/2010 12:00:00 AM,1.42%,2.08%,2.08%,0.01%,1.40%,1.41%,-0.01%,1.45%,1.40%,0.06%
2017 Oct 11 16:59:08 [10] INFO  - ,12/10/2010 12:00:00 AM,-0.46%,-1.87%,-1.82%,-0.03%,-2.16%,-2.06%,-0.07%,-2.10%,-2.08%,0.00%
2017 Oct 11 16:59:08 [10] INFO  - ,12/17/2010 12:00:00 AM,0.18%,0.07%,0.41%,-0.36%,-0.01%,0.34%,-0.38%,-0.02%,0.34%,-0.38%
2017 Oct 11 16:59:08 [10] INFO  - ,12/24/2010 12:00:00 AM,0.43%,1.90%,1.35%,0.54%,1.51%,1.08%,0.42%,1.57%,1.07%,0.48%
2017 Oct 11 16:59:08 [10] INFO  - ,12/31/2010 12:00:00 AM,0.74%,1.01%,0.59%,0.41%,1.33%,0.85%,0.47%,1.27%,0.84%,0.41%
2017 Oct 11 16:59:08 [10] INFO  - ,1/7/2011 12:00:00 AM,-0.03%,-0.10%,-0.79%,0.70%,-0.50%,-0.96%,0.46%,-0.23%,-1.01%,0.78%
2017 Oct 11 16:59:08 [10] INFO  - ,1/14/2011 12:00:00 AM,0.10%,0.73%,0.13%,0.58%,-0.06%,-0.48%,0.40%,0.17%,-0.48%,0.63%
2017 Oct 11 16:59:08 [10] INFO  - ,1/21/2011 12:00:00 AM,-0.99%,-1.23%,-1.24%,0.04%,-1.04%,-1.11%,0.09%,-1.30%,-1.04%,-0.24%
2017 Oct 11 16:59:08 [10] INFO  - ,1/28/2011 12:00:00 AM,0.02%,0.86%,0.91%,-0.07%,0.86%,0.88%,-0.05%,0.88%,0.86%,-0.01%
2017 Oct 11 16:59:08 [10] INFO  - ,2/4/2011 12:00:00 AM,0.10%,-0.19%,0.30%,-0.48%,-0.75%,-0.15%,-0.60%,-0.47%,-0.16%,-0.31%
2017 Oct 11 16:59:08 [10] INFO  - ,2/11/2011 12:00:00 AM,0.85%,-0.80%,-0.06%,-0.75%,-0.93%,-0.04%,-0.91%,-0.70%,-0.09%,-0.62%
2017 Oct 11 16:59:08 [10] INFO  - ,2/18/2011 12:00:00 AM,0.50%,0.24%,0.86%,-0.64%,-0.42%,0.49%,-0.92%,-0.25%,0.45%,-0.70%
2017 Oct 11 16:59:08 [10] INFO  - ,2/25/2011 12:00:00 AM,0.47%,0.87%,0.58%,0.27%,2.13%,1.29%,0.81%,1.47%,1.17%,0.28%
2017 Oct 11 16:59:08 [10] INFO  - ,3/4/2011 12:00:00 AM,1.25%,0.10%,1.09%,-1.02%,-0.18%,0.77%,-0.97%,-0.15%,0.75%,-0.93%
2017 Oct 11 16:59:08 [10] INFO  - ,3/11/2011 12:00:00 AM,1.50%,-0.16%,-1.33%,1.16%,0.85%,-0.32%,1.17%,0.51%,-0.27%,0.78%
2017 Oct 11 16:59:08 [10] INFO  - ,3/18/2011 12:00:00 AM,-1.03%,-1.87%,-2.25%,0.37%,-0.35%,-0.56%,0.20%,-0.61%,-0.37%,-0.25%
2017 Oct 11 16:59:08 [10] INFO  - ,3/25/2011 12:00:00 AM,1.89%,0.61%,0.78%,-0.18%,-1.99%,-1.15%,-0.84%,-1.76%,-1.24%,-0.52%
2017 Oct 11 16:59:08 [10] INFO  - ,4/1/2011 12:00:00 AM,1.07%,1.06%,1.10%,-0.07%,0.05%,0.56%,-0.53%,0.19%,0.52%,-0.35%
2017 Oct 11 16:59:08 [10] INFO  - ,4/8/2011 12:00:00 AM,0.24%,1.12%,2.16%,-1.04%,0.61%,1.82%,-1.21%,0.49%,1.84%,-1.34%
2017 Oct 11 16:59:08 [10] INFO  - ,4/15/2011 12:00:00 AM,2.07%,0.04%,0.10%,-0.09%,1.02%,0.67%,0.34%,0.97%,0.69%,0.27%
2017 Oct 11 16:59:08 [10] INFO  - ,4/22/2011 12:00:00 AM,1.67%,-0.22%,0.35%,-0.57%,-1.01%,-0.03%,-0.96%,-0.83%,-0.10%,-0.72%
2017 Oct 11 16:59:08 [10] INFO  - ,4/29/2011 12:00:00 AM,2.67%,1.01%,1.26%,-0.24%,0.50%,0.98%,-0.47%,0.69%,0.95%,-0.26%
2017 Oct 11 16:59:08 [10] INFO  - ,5/6/2011 12:00:00 AM,-1.89%,5.25%,-0.22%,5.48%,5.66%,0.02%,5.64%,5.34%,0.13%,5.22%
2017 Oct 11 16:59:08 [10] INFO  - ,5/13/2011 12:00:00 AM,0.46%,0.52%,0.27%,0.24%,0.55%,0.31%,0.23%,0.51%,0.31%,0.19%
2017 Oct 11 16:59:08 [10] INFO  - ,5/20/2011 12:00:00 AM,0.16%,1.04%,0.76%,0.29%,1.30%,0.93%,0.39%,1.33%,0.97%,0.38%
2017 Oct 11 16:59:08 [10] INFO  - ,5/27/2011 12:00:00 AM,0.57%,2.59%,2.10%,0.51%,2.73%,2.19%,0.55%,2.73%,2.15%,0.60%
2017 Oct 11 16:59:08 [10] INFO  - ,6/3/2011 12:00:00 AM,0.45%,0.29%,-0.03%,0.31%,0.40%,0.10%,0.31%,0.14%,0.09%,0.07%
2017 Oct 11 16:59:08 [10] INFO  - ,6/10/2011 12:00:00 AM,-0.45%,0.25%,0.32%,-0.03%,1.05%,0.82%,0.25%,0.94%,0.89%,0.07%
2017 Oct 11 16:59:08 [10] INFO  - ,6/17/2011 12:00:00 AM,-0.57%,1.14%,-0.12%,1.27%,1.82%,0.67%,1.16%,1.64%,0.47%,1.18%
2017 Oct 11 16:59:08 [10] INFO  - ,6/24/2011 12:00:00 AM,-0.26%,1.14%,0.94%,0.18%,1.26%,1.10%,0.14%,1.29%,1.08%,0.21%
2017 Oct 11 16:59:08 [10] INFO  - ,7/1/2011 12:00:00 AM,1.19%,-0.01%,-1.36%,1.33%,-2.24%,-3.80%,1.54%,-1.81%,-3.42%,1.57%
2017 Oct 11 16:59:08 [10] INFO  - ,7/8/2011 12:00:00 AM,2.72%,2.45%,4.04%,-1.60%,2.34%,3.89%,-1.56%,2.49%,3.85%,-1.37%
2017 Oct 11 16:59:08 [10] INFO  - ,7/15/2011 12:00:00 AM,1.78%,0.70%,1.23%,-0.51%,1.78%,2.16%,-0.36%,1.37%,2.04%,-0.64%
2017 Oct 11 16:59:08 [10] INFO  - ,7/22/2011 12:00:00 AM,0.35%,0.07%,0.06%,0.01%,-0.69%,-0.54%,-0.14%,0.03%,-0.20%,0.23%
2017 Oct 11 16:59:08 [10] INFO  - ,7/29/2011 12:00:00 AM,1.67%,2.25%,1.92%,0.33%,3.21%,3.05%,0.17%,2.57%,2.70%,-0.12%
2017 Oct 11 16:59:08 [10] INFO  - ,8/5/2011 12:00:00 AM,-0.02%,0.21%,-0.38%,0.58%,4.58%,3.14%,1.45%,2.04%,1.46%,0.59%
2017 Oct 11 16:59:08 [10] INFO  - ,8/12/2011 12:00:00 AM,1.46%,2.05%,2.20%,-0.13%,3.29%,3.26%,0.04%,2.34%,2.43%,-0.09%
2017 Oct 11 16:59:08 [10] INFO  - ,8/19/2011 12:00:00 AM,-0.40%,1.19%,1.52%,-0.31%,2.02%,2.67%,-0.63%,1.19%,1.52%,-0.31%
2017 Oct 11 16:59:08 [10] INFO  - ,8/26/2011 12:00:00 AM,0.55%,0.82%,0.82%,0.01%,0.15%,-0.16%,0.30%,0.82%,0.82%,0.01%
2017 Oct 11 16:59:08 [10] INFO  - ,9/2/2011 12:00:00 AM,0.79%,-0.16%,-0.10%,-0.08%,-0.17%,-0.11%,-0.09%,-0.16%,-0.10%,-0.08%
2017 Oct 11 16:59:08 [10] INFO  - ,9/9/2011 12:00:00 AM,0.91%,-0.26%,-0.29%,0.04%,-0.04%,-0.08%,0.04%,-0.26%,-0.29%,0.04%
2017 Oct 11 16:59:08 [10] INFO  - ,9/16/2011 12:00:00 AM,-0.68%,0.75%,0.42%,0.32%,0.11%,-0.32%,0.41%,0.82%,0.50%,0.30%
2017 Oct 11 16:59:08 [10] INFO  - ,9/23/2011 12:00:00 AM,-3.78%,0.34%,-0.29%,0.69%,1.77%,1.46%,0.37%,0.34%,-0.29%,0.69%
2017 Oct 11 16:59:08 [10] INFO  - ,9/30/2011 12:00:00 AM,-0.78%,-0.79%,-2.01%,1.20%,-0.71%,-1.92%,1.20%,-0.79%,-2.01%,1.20%
2017 Oct 11 16:59:08 [10] INFO  - ,10/7/2011 12:00:00 AM,-0.03%,2.77%,1.20%,1.59%,2.38%,0.74%,1.64%,2.77%,1.20%,1.59%
2017 Oct 11 16:59:08 [10] INFO  - ,10/14/2011 12:00:00 AM,0.37%,0.24%,0.03%,0.24%,-0.62%,-1.01%,0.42%,0.15%,-0.21%,0.39%
2017 Oct 11 16:59:08 [10] INFO  - ,10/21/2011 12:00:00 AM,0.02%,0.83%,1.62%,-0.79%,0.81%,1.45%,-0.65%,0.46%,1.13%,-0.67%
2017 Oct 11 16:59:08 [10] INFO  - ,10/28/2011 12:00:00 AM,0.96%,0.95%,2.04%,-1.07%,-0.20%,1.19%,-1.37%,1.05%,1.50%,-0.44%
2017 Oct 11 16:59:08 [10] INFO  - ,11/4/2011 12:00:00 AM,1.34%,2.04%,3.15%,-1.15%,2.97%,4.08%,-1.14%,2.59%,4.18%,-1.63%
2017 Oct 11 16:59:08 [10] INFO  - ,11/11/2011 12:00:00 AM,-0.35%,0.55%,0.20%,0.37%,0.80%,0.40%,0.40%,0.81%,0.43%,0.40%
2017 Oct 11 16:59:08 [10] INFO  - ,11/18/2011 12:00:00 AM,-0.30%,-0.52%,-2.38%,1.86%,0.32%,-1.48%,1.80%,-0.21%,-1.58%,1.37%
2017 Oct 11 16:59:08 [10] INFO  - ,11/25/2011 12:00:00 AM,-0.73%,-0.51%,-1.99%,1.46%,0.68%,-1.24%,1.90%,-0.22%,-1.21%,0.98%
2017 Oct 11 16:59:08 [10] INFO  - ,12/2/2011 12:00:00 AM,3.05%,2.01%,1.81%,0.22%,1.08%,1.31%,-0.23%,2.01%,1.81%,0.22%
2017 Oct 11 16:59:08 [10] INFO  - ,12/9/2011 12:00:00 AM,0.24%,0.75%,0.45%,0.27%,0.95%,0.52%,0.41%,1.12%,0.52%,0.59%
2017 Oct 11 16:59:08 [10] INFO  - ,12/16/2011 12:00:00 AM,0.20%,0.79%,0.30%,0.47%,1.22%,0.46%,0.74%,0.73%,0.43%,0.29%
2017 Oct 11 16:59:08 [10] INFO  - ,12/23/2011 12:00:00 AM,-0.49%,0.14%,0.01%,0.13%,-0.37%,-0.59%,0.21%,0.14%,0.01%,0.13%
2017 Oct 11 16:59:08 [10] INFO  - ,12/30/2011 12:00:00 AM,1.65%,2.19%,2.66%,-0.50%,2.07%,2.56%,-0.50%,2.06%,2.62%,-0.58%
2017 Oct 11 16:59:08 [10] INFO  - ,1/6/2012 12:00:00 AM,0.97%,1.51%,1.32%,0.23%,1.42%,1.25%,0.19%,1.85%,1.26%,0.61%
2017 Oct 11 16:59:08 [10] INFO  - ,1/13/2012 12:00:00 AM,2.30%,1.76%,2.64%,-0.84%,1.39%,2.42%,-1.00%,1.65%,2.39%,-0.72%
2017 Oct 11 16:59:08 [10] INFO  - ,1/20/2012 12:00:00 AM,-0.59%,0.28%,-0.36%,0.64%,-0.55%,-1.05%,0.49%,-0.13%,-1.05%,0.91%
2017 Oct 11 16:59:08 [10] INFO  - ,1/27/2012 12:00:00 AM,2.08%,1.97%,0.89%,1.10%,1.81%,0.69%,1.13%,1.94%,0.69%,1.27%
2017 Oct 11 16:59:08 [10] INFO  - ,2/3/2012 12:00:00 AM,-0.06%,0.55%,1.20%,-0.63%,-0.02%,0.77%,-0.79%,0.63%,0.72%,-0.09%
2017 Oct 11 16:59:08 [10] INFO  - ,2/10/2012 12:00:00 AM,-0.24%,0.60%,-0.15%,0.76%,0.64%,-0.10%,0.75%,0.58%,-0.15%,0.73%
2017 Oct 11 16:59:08 [10] INFO  - ,2/17/2012 12:00:00 AM,-0.39%,0.82%,1.16%,-0.35%,0.53%,0.82%,-0.31%,0.78%,0.78%,-0.01%
2017 Oct 11 16:59:08 [10] INFO  - ,2/24/2012 12:00:00 AM,0.84%,2.79%,4.20%,-1.38%,2.61%,3.98%,-1.35%,2.57%,3.89%,-1.31%
2017 Oct 11 16:59:08 [10] INFO  - ,3/2/2012 12:00:00 AM,0.68%,2.21%,2.51%,-0.27%,2.09%,2.32%,-0.21%,2.04%,2.42%,-0.36%
2017 Oct 11 16:59:08 [10] INFO  - ,3/9/2012 12:00:00 AM,-0.12%,0.07%,-0.22%,0.27%,0.23%,0.21%,-0.01%,0.14%,0.20%,-0.09%
2017 Oct 11 16:59:08 [10] INFO  - ,3/16/2012 12:00:00 AM,-2.14%,-2.66%,-2.56%,-0.13%,-3.02%,-2.92%,-0.12%,-2.94%,-2.92%,-0.04%
2017 Oct 11 16:59:08 [10] INFO  - ,3/23/2012 12:00:00 AM,1.03%,0.77%,0.47%,0.30%,1.08%,0.77%,0.31%,0.98%,0.77%,0.21%
2017 Oct 11 16:59:08 [10] INFO  - ,3/30/2012 12:00:00 AM,0.97%,0.43%,0.19%,0.28%,0.61%,0.34%,0.30%,0.89%,0.49%,0.42%
2017 Oct 11 16:59:08 [10] INFO  - ,4/6/2012 12:00:00 AM,1.25%,-0.26%,-0.04%,-0.24%,0.13%,0.33%,-0.21%,-0.12%,0.45%,-0.56%
2017 Oct 11 16:59:08 [10] INFO  - ,4/13/2012 12:00:00 AM,0.99%,2.18%,0.74%,1.46%,2.52%,0.87%,1.67%,2.38%,0.49%,1.91%
2017 Oct 11 16:59:08 [10] INFO  - ,4/20/2012 12:00:00 AM,0.05%,-0.09%,-0.18%,0.09%,-0.49%,-0.38%,-0.11%,-0.36%,-0.41%,0.05%
2017 Oct 11 16:59:08 [10] INFO  - ,4/27/2012 12:00:00 AM,1.62%,1.45%,2.27%,-0.80%,1.24%,1.76%,-0.51%,1.66%,1.85%,-0.18%
2017 Oct 11 16:59:08 [10] INFO  - ,5/4/2012 12:00:00 AM,0.01%,-1.04%,-1.90%,0.87%,-0.67%,-1.65%,0.97%,-1.55%,-1.48%,-0.08%
2017 Oct 11 16:59:08 [10] INFO  - ,5/11/2012 12:00:00 AM,0.63%,0.05%,-0.74%,0.78%,0.69%,-0.41%,1.08%,0.56%,-0.39%,0.94%
2017 Oct 11 16:59:08 [10] INFO  - ,5/18/2012 12:00:00 AM,2.95%,-1.93%,-3.14%,1.22%,0.33%,-0.97%,1.30%,-0.54%,-0.96%,0.42%
2017 Oct 11 16:59:08 [10] INFO  - ,5/25/2012 12:00:00 AM,-0.21%,2.77%,3.33%,-0.55%,1.97%,2.47%,-0.50%,2.06%,2.51%,-0.46%
2017 Oct 11 16:59:08 [10] INFO  - ,6/1/2012 12:00:00 AM,-2.06%,2.98%,3.11%,-0.16%,3.88%,3.72%,0.13%,3.68%,3.59%,0.05%
2017 Oct 11 16:59:09 [10] INFO  - ,6/8/2012 12:00:00 AM,1.99%,-0.34%,-0.70%,0.36%,-1.59%,-1.54%,-0.04%,-1.04%,-1.11%,0.08%
2017 Oct 11 16:59:09 [10] INFO  - ,6/15/2012 12:00:00 AM,0.69%,0.95%,0.95%,0.02%,0.68%,0.77%,-0.09%,1.07%,0.95%,0.12%
2017 Oct 11 16:59:09 [10] INFO  - ,6/22/2012 12:00:00 AM,0.35%,-1.01%,-0.11%,-0.90%,-0.97%,-0.07%,-0.89%,-0.59%,0.12%,-0.69%
2017 Oct 11 16:59:09 [10] INFO  - ,6/29/2012 12:00:00 AM,0.54%,0.65%,-1.15%,1.78%,-0.29%,-1.61%,1.31%,0.40%,-1.20%,1.59%
2017 Oct 11 16:59:09 [10] INFO  - ,7/6/2012 12:00:00 AM,1.38%,3.02%,2.27%,0.76%,3.09%,2.30%,0.79%,3.45%,2.55%,0.90%
2017 Oct 11 16:59:09 [10] INFO  - ,7/13/2012 12:00:00 AM,0.50%,-0.05%,0.05%,-0.11%,0.14%,0.26%,-0.11%,0.06%,0.19%,-0.13%
2017 Oct 11 16:59:09 [10] INFO  - ,7/20/2012 12:00:00 AM,0.05%,-0.23%,0.37%,-0.59%,-0.71%,0.16%,-0.85%,-0.49%,0.30%,-0.78%
2017 Oct 11 16:59:09 [10] INFO  - ,7/27/2012 12:00:00 AM,-0.90%,0.44%,-0.50%,0.93%,0.03%,-0.99%,1.01%,0.44%,-0.52%,0.96%
2017 Oct 11 16:59:09 [10] INFO  - ,8/3/2012 12:00:00 AM,-0.50%,1.47%,1.63%,-0.19%,0.83%,1.22%,-0.39%,1.07%,1.37%,-0.31%
2017 Oct 11 16:59:09 [10] INFO  - ,8/10/2012 12:00:00 AM,-0.56%,1.79%,0.95%,0.85%,0.70%,0.22%,0.48%,0.73%,0.16%,0.57%
2017 Oct 11 16:59:09 [10] INFO  - ,8/17/2012 12:00:00 AM,-0.74%,0.29%,-0.13%,0.40%,-0.33%,-0.65%,0.30%,-0.26%,-0.73%,0.45%
2017 Oct 11 16:59:09 [10] INFO  - ,8/24/2012 12:00:00 AM,2.20%,3.22%,2.67%,0.55%,3.80%,3.24%,0.56%,3.78%,3.20%,0.57%
2017 Oct 11 16:59:09 [10] INFO  - ,8/31/2012 12:00:00 AM,1.51%,1.48%,1.58%,-0.09%,1.96%,2.07%,-0.10%,1.95%,2.07%,-0.11%
2017 Oct 11 16:59:09 [10] INFO  - ,9/7/2012 12:00:00 AM,0.31%,3.30%,2.02%,1.27%,2.14%,1.19%,0.95%,2.24%,1.19%,1.05%
2017 Oct 11 16:59:09 [10] INFO  - ,9/14/2012 12:00:00 AM,2.04%,0.92%,0.58%,0.35%,-0.28%,-0.12%,-0.15%,-0.19%,-0.16%,-0.02%
2017 Oct 11 16:59:09 [10] INFO  - ,9/21/2012 12:00:00 AM,0.60%,-0.97%,-1.06%,0.09%,-0.72%,-0.87%,0.14%,-0.71%,-0.86%,0.15%
2017 Oct 11 16:59:09 [10] INFO  - ,9/28/2012 12:00:00 AM,-0.33%,1.08%,0.01%,1.05%,2.06%,0.59%,1.46%,1.58%,0.69%,0.87%
2017 Oct 11 16:59:09 [10] INFO  - ,10/5/2012 12:00:00 AM,0.99%,-0.38%,-0.35%,-0.05%,-1.35%,-1.07%,-0.31%,-1.26%,-1.16%,-0.12%
2017 Oct 11 16:59:09 [10] INFO  - ,10/12/2012 12:00:00 AM,-0.51%,1.24%,0.19%,1.05%,2.18%,1.03%,1.15%,1.82%,1.19%,0.63%
2017 Oct 11 16:59:09 [10] INFO  - ,10/19/2012 12:00:00 AM,-0.13%,-0.74%,-1.16%,0.40%,-1.44%,-1.48%,0.03%,-1.44%,-1.48%,0.03%
2017 Oct 11 16:59:09 [10] INFO  - ,10/26/2012 12:00:00 AM,-0.58%,-0.71%,-0.74%,0.04%,0.01%,-0.18%,0.20%,-0.03%,-0.16%,0.15%
2017 Oct 11 16:59:09 [10] INFO  - ,11/2/2012 12:00:00 AM,0.59%,-0.59%,-0.38%,-0.21%,-0.85%,-0.66%,-0.19%,-0.72%,-0.71%,-0.01%
2017 Oct 11 16:59:09 [10] INFO  - ,11/9/2012 12:00:00 AM,0.29%,1.17%,0.88%,0.31%,1.63%,1.33%,0.31%,1.40%,1.36%,0.04%
2017 Oct 11 16:59:09 [10] INFO  - ,11/16/2012 12:00:00 AM,-0.92%,-1.44%,-1.40%,-0.03%,0.29%,0.32%,-0.03%,0.35%,0.40%,-0.05%
2017 Oct 11 16:59:09 [10] INFO  - ,11/23/2012 12:00:00 AM,2.39%,1.31%,1.29%,0.03%,-0.53%,-0.58%,0.06%,-0.19%,-0.29%,0.11%
2017 Oct 11 16:59:09 [10] INFO  - ,11/30/2012 12:00:00 AM,1.42%,-0.09%,0.02%,-0.12%,-0.59%,-0.45%,-0.14%,-0.59%,-0.46%,-0.14%
2017 Oct 11 16:59:09 [10] INFO  - ,12/7/2012 12:00:00 AM,1.11%,0.29%,0.42%,-0.14%,0.02%,0.14%,-0.13%,0.02%,0.14%,-0.13%
2017 Oct 11 16:59:09 [10] INFO  - ,12/14/2012 12:00:00 AM,-0.50%,-0.56%,-0.18%,-0.36%,-0.68%,-0.30%,-0.37%,-0.63%,-0.32%,-0.30%
2017 Oct 11 16:59:09 [10] INFO  - ,12/21/2012 12:00:00 AM,0.03%,-0.98%,-1.22%,0.24%,-1.23%,-1.40%,0.17%,-1.28%,-1.39%,0.11%
2017 Oct 11 16:59:09 [10] INFO  - ,12/28/2012 12:00:00 AM,0.56%,0.35%,0.88%,-0.54%,1.09%,1.52%,-0.43%,1.16%,1.51%,-0.35%
2017 Oct 11 16:59:09 [10] INFO  - ,1/4/2013 12:00:00 AM,-0.01%,-0.27%,0.12%,-0.40%,-2.87%,-2.56%,-0.31%,-2.70%,-2.64%,-0.07%
2017 Oct 11 16:59:09 [10] INFO  - ,1/11/2013 12:00:00 AM,0.23%,-0.19%,0.10%,-0.28%,-0.26%,0.07%,-0.32%,-0.27%,0.07%,-0.33%
